id,Chapter,C_name,string_kr,command,image_name,dir
,,, ,,,
46,3,조지,무사하셔서 다행입니다 형님!,,Joji_normal_1,left
47,3,조지,몸은 괜찮으십니까?,,Joji_normal_1,left
48,3,리퍼,"... 조지, 맞나?",,Reaper_normal_1,right
49,3,리퍼,자네에게 큰 빚을 졌어,,Reaper_normal_1,right
50,3,조지,어떻게 가족을 버리겠습니까,,Joji_normal_1,left
51,3,조지,형님이 아니였더라도 그렇게 했을겁니다,,Joji_normal_1,left
52,3,리퍼,믿음직스럽군,,Reaper_normal_1,right
53,3,리퍼,허나 총을 맞았다고 들었는데?,,Reaper_normal_1,right
54,3,조지,총 말씀이십니까?,,Joji_normal_1,left
55,3,조지,"아아, 고양이녀석들 말씀이시군요",,Joji_normal_1,left
56,3,조지,조금 소란이 있었지만 총알도 빗겨나갔고 큰 문제는 없습니다,,Joji_normal_1,left
57,3,조지,이제 슬슬...,,Joji_normal_1,left
58,3,잭,죽여라...,,Jack_normal_1,right
59,3,리퍼,...!,,Reaper_normal_1,left
60,3,잭,인간을...,,Jack_normal_1,right
61,3,잭,그 때 처럼...,,Jack_normal_1,right
62,3,조지,"형님, 괜찮으십니까?",,Joji_normal_1,left
63,3,리퍼,"조지, 미안하지만 혼자 처리하겠어",,Reaper_normal_1,right
64,3,조지,... 예?,,Joji_normal_1,left
,,, ,,,
65,,세미보스,... 말도안돼,,Crow_normal_1,left
66,,세미보스,이런게 가능할 리가...,,Crow_normal_1,left
67,,세미보스,너는... 누구지?,,Crow_normal_1,left
68,,리퍼,네가 알 필요는 없다,,Reaper_normal_1,right

69,,경찰1,정말 미치겠군,,Police1_normal_1,right
70,,경찰1,설리번으로도 벅찬데...<br>이 녀석들은 도대체 왜 이러는거지?,,Police1_normal_1,right
71,,경찰2,"이래서 초짜녀석이랑 같이 있기 싫다니깐,<br>""검은 고양이"" 들어본 적 없나?",,Police2_normal_1,left
72,,경찰1,한번정도는 들어본 것 같습니다,,Police1_normal_1,right
73,,경찰2,설리번이랑은 다르게 더러운 일을 전문으로 하는 녀석들이야,,Police2_normal_1,left
74,,경찰2,소문으론 이 도시에서 일어나는 살인은 대부분 그 녀석들이라더군,,Police2_normal_1,left
75,,경찰1,잡을수는 없는겁니까?,,Police1_normal_1,right
76,,경찰2,"초짜녀석,<br>말 했잖아 더러운 녀석들이라고",,Police2_normal_1,left
77,,경찰2,어떤 행동을 한지 모르겠지만 기록이 전혀 남아있지않아,,Police2_normal_1,left
78,,경찰2,그런 놈들이 이런 식으로 모습을 보일줄이야,,Police2_normal_1,left
79,,경찰2,하여간 이 짓도 못해먹겠군,,Police2_normal_1,left
80,,경찰2,... 저 녀석은 뭐야?,,Police2_normal_1,left
81,,사진기자,... 안녕하세요?,,Photo_normal_1,left
82,,경찰1,뭐하시는 겁니까?!,,Police1_normal_1,right
83,,경찰1,여긴 들어오시면 안됩니다!,,Police1_normal_1,right
84,,사진기자,아하하하... 이거만 하고 금방 갈게요~,,Photo_normal_1,left
85,,경찰2,짜증나게 만드는군,,Police2_normal_1,left
86,,경찰2,두번 말하게 하지말고 빨리 꺼져,,Police2_normal_1,left

87,,잭,하얀색 옷...,,Jack_normal_1,left
88,,잭,죽이겠다...,,Jack_normal_1,left
89,,잭,그때 처럼...,,Jack_normal_1,left
90,,잭,죽이겠다...,,Jack_normal_1,left
91,,잭,... 나를 만든 너희들을,,Jack_normal_1,left
92,,잭,죽여라,,Jack_normal_1,left
93,,잭,... 네가 기억하는,,Jack_normal_1,left
94,,잭,그 녀석 처럼,,Jack_normal_1,left

95,,폭력배1,여긴 우리 구역인거 몰랐어?,,Gangster1_normal_1,right
96,,폭력배1,전에도 말했던걸로 기억하는데?,,Gangster1_normal_1,right
97,,윙맨,그딴게 어딨어!,,Wingman_normal_1,left
98,,윙맨,그.. 그리고 난 설리번 패밀리라고!!!,,Wingman_normal_1,left
99,,윙맨,내가 이렇게 된 걸 알면 가만두지 않을거야!!!,,Wingman_normal_1,left
100,,폭력배1,하하하! 허풍이 지나치군,,Gangster1_normal_1,right
101,,폭력배1,"얘들아, 밟아",,Gangster1_normal_1,right
102,,폭력배2,... 잠시만 인기척이...,,Gangster2_normal_1,right
103,,리퍼,...,,Reaper_normal_1,right
104,,폭력배1,"어이, 다치기 싫으면 저리 꺼져",,Gangster1_normal_1,left
105,,폭력배2,이... 이런 미친...!,,Gangster2_normal_1,left
106,,폭력배3,고작 한명인데 왜 이렇게 호들갑이야?,,Gangster3_normal_1,left
107,,폭력배1,바닥에 쳐박아주지,,Gangster1_normal_1,left
리퍼,Reaper
잭,Jack
로벨리아,Robellia
설리번,Sullivan
지젤,Zizel
사진기자,Photo
윙맨,Wingman
세미보스,Crow
발톱,Claw
아티스트,Artist
칼날,Blade
조지,Joji
도망자,Fugitive
조직원1,Ally1
조직원2,Ally2
조직원3,Ally3
적군1,Enemy1
적군2,Enemy2
적군3,Enemy3
경찰1,Police1
경찰2,Police2
경찰3,Police3
폭력배1,Gangster1
폭력배2,Gangster2
폭력배3,Gangster3
