id,Chapter,C_name,string_kr,command,develop_note
20039,2,리퍼,... 그건 넘어가지,!speed 1 3 0.1,대화 시작 전 잠시 뜸을 들인다
20040,2,리퍼,이 집에서 그녀와 함께 지냈어,,
20041,2,리퍼,그리고 얼마인지 모를 정도로 시간이 지나고,,
20042,2,리퍼,집에 돌아왔을땐 너가 나의 집을 뒤지고있더군,,리퍼가 고개를 든다.
20043,2,사진기자,으으으음...,,
20044,2,사진기자,평소에 누군가가 원한을 살 만한 일이 있었나요?,,
20045,2,리퍼,단언은 못하겠지만 원한을 산 적은 없네,,
20046,2,리퍼,하지만 이건 확실한것같군,,
20047,2,리퍼,무슨 수를 써서라도 그 녀석을 찾아내겠다,,
20048,2,사진기자,무섭네요,,스탠딩상태 유지
20049,2,사진기자,성함을 알 수 있을까요?,,
20050,2,사진기자,서로 쫒는 목표가 얼추 비슷한 것 같아서요,,
20051,2,리퍼,난 설리번과 일하고있다,,말이 끝나면 좌측으로 이동한다.
20052,2,사진기자,설리번이라면...,,사진기자가 말하고 리퍼는 잠시 멈춰선다
20053,2,리퍼,필요하면 찾아가겠다,,말을 끝내고 다시 이동한다.
,,, ,,
20054,2,설리번,하하하! 이게 누군가!,,반갑다는 듯 손을 들어올린다.
20055,2,설리번,지젤이 한건 했구만!,,손을 책상위로 올린다.
20056,2,리퍼,무슨 일이 있었던거지?,!move 10058,
20057,2,,나쁘지않아,!move 10059,
20058,2,설리번,바로 본론인건가? 그것도 좋지,!move 10062,1번 선택지. 132번 무브
20059,2,설리번,하하하! 역시 실력 하나는 인정해야겠군,,2번 선택지
20060,2,설리번,그 녀석도 고생했지만 나도 고생 좀 했어,,
20061,2,설리번,"자, 그럼 본론으로 넘어가지",,
20062,2,설리번,검은 고양이가 더욱 날뛰고 있어,,
20063,2,설리번,이전에 있었던 폭발 기억하나?,,
20064,2,설리번,그건 오로지 자네만을 제거하기위해 만든 함정이였어,,
20065,2,설리번,그래서 인질과 아마추어들밖에 없었던거고,,
20066,2,설리번,"이전까진 없었던 ""복수"" 까지 생기고있네",!size 10 13 24,
20067,2,리퍼,복수?,,
20068,2,설리번,조지를 기억하나?,,
20069,2,설리번,시체나 다름없는 자네를 구해준 친구말이야,,
20070,2,설리번,자택에서 습격까지 받았다더군,,
20071,2,설리번,그래서 말인데...<br>지금 당장 일을 해줘야겠어,,
20072,2,설리번,"아주 간단한 일이야<br>""리퍼는 살아있다"" 라는걸 보여주기만 하면 돼",,
20073,2,설리번,조직원들이 한번 더 말해줄걸세,,
20074,2,리퍼,바로 움직이지,,대화가 끝나고 바로 움직인다.
,,, ,,
20075,2,조직원1,몸상태는 어떻습니까?,,농장 앞에서 브리핑을 한다.
20076,2,리퍼,괜찮아,,
20077,2,조직원1,작전을 말씀드리겠습니다,,
20078,2,조직원1,대장님이 검은 고양이 녀석들을 제압하시면,,
20079,2,조직원1,저희가 생포하겠습니다,,
20080,2,조직원1,생포한 녀석들에게서 정보를 캘 생각입니다.,,
20081,2,리퍼,다른 주의할점은?,,
20082,2,조직원1,이성을 잃으시면 안됩니다,,
20083,2,리퍼,시작하지,,대화가 끝나고 농장 안으로 들어선다.
,,, ,,
20084,2,리퍼,...우욱,!speed 1 3 0.1,리퍼가 주저앉아 구역질을 한다.
20085,2,리퍼,이렇게 역겨운 냄새였던가...,,
,,, ,,
20086,2,리퍼,...우욱...,!speed 1 3 0.1,리퍼가 주저앉아 구역질을 한다.
20087,2,리퍼,이게 무슨...,,
,,, ,,
20088,2,적군1,리퍼...?!,,칼을 떨어트리는 QTE 적군
20089,2,적군1,죽어!!!,,총을 쏜다.
,,, ,,
20090,2,적군2,미친...!,,계단 차는 적군
20091,2,적군2,설리번이다!!!,,계단을 차고 뒤를 돌아 뛰며 외친다.
,,, ,,
20092,2,적군3,죽은거 아니였어?!,,리퍼를 향해 함께 공격하는 적군
20093,2,적군4,빨리 쏘기나 해!,,대화가 끝나고 함께 공격한다.
,,, ,,
20094,2,리퍼,... 칼?,!speed 1 5 0.1,
,,, ,,
20095,2,적군5,저 녀석 막아!!!,,2층에서 움직이는 적군이 하는 말
20096,2,적군6,무기 챙겨!!!,,
,,, ,,
20097,2,적군7,우... 우린 이미 항복했다고!!!,!speed 1 4 0.1,클리어 이후. 적군 대사
20098,2,적군8,어째서 살아있는거지?!,,
,,, ,,
20099,2,조직원1,역시 회복할 시간이 더 필요하셨던건가?,,
20100,2,조직원2,대장님을 못믿는거냐?,,
20101,2,조직원3,잠깐 들어가볼까?,,
20102,2,조직원1,"아니, 조금만 더 기다려보자",,
20103,2,조직원3,잠깐 보는건 괜찮잖아?,,늑대 클리어. 1_3_3 특수 씬. // 문으로 걸어 들어간다.
20104,2,조직원3,으악!,,뒷걸음질 친다.
20105,2,조직원1,전부 제거하신겁니까?,,
20106,2,리퍼,가자,,리퍼는 차 방향으로 걸어간다.
20107,2,적군7,크흑..,,인간 클리어. 1_3_3 특수 씬. // 차 방향으로 걸어간다.
20108,2,조직원3,빨리 기어나와!,,
20109,2,조직원1,나머진 저희가 처리하겠습니다,,
20110,2,조직원1,이 차를 타고 먼저 가시면 됩니다,,
20111,2,리퍼,알겠다,,리퍼는 차 방향으로 걸어간다.
,,, ,,
20112,2,설리번,퍼...,!speed 1 4 0.1,화면이 불투명하고 리퍼는 고개를 숙이고있다.
20113,2,설리번,리퍼,!speed 1 2 0.1,화면이 점점 밝아진다.
20114,2,리퍼,흠,,완전히 밝아지고 리퍼는 고개를 든다.
20115,2,설리번,듣고 있는건가?,,책상에 손을 올리고 말한다.
20116,2,리퍼,조금 피곤하군,,
20117,2,설리번,인질이 하나정도는 있을거라 생각했는데,,늑대 상태로 클리어할 시 발생.
20118,2,리퍼,어쩔 수 없었어,!move 10120,
20119,,,...,!move 10121,
20120,2,설리번,리퍼답지 않군,,1번 선택지 선택 시 발생
20121,2,설리번,...,,
20122,2,설리번,어쩌면 내가 무리한 부탁을 한걸지도 모르겠군,,손을 들어올린다.
20123,2,설리번,위협을 준건 맞으니...<br>이번은 해프닝이라고 생각하겠어,,
20124,2,설리번,그나저나 자네 괜찮나?,,손을 책상 위로 올린다.
20125,2,설리번,조직원들 말로는 마치 굶주린 늑대같았다고 하더군,,
20126,2,리퍼,나 자신을 잃어버린 기분이였어,!move 10124,
20127,,,조금 피곤할 뿐이야,!move 10133,
20128,,,...,!move 10133,
20129,2,설리번,그건 무슨 소리인가?,,1번 선택 시.
20130,2,설리번,진짜 사신이라도 되었다는 소리인가?,,
20131,2,설리번,이제 그만 정신차리게,,
20132,2,설리번,무안하게 또 칭찬을 하라는 말인가?,,인간 상태로 클리어할 시 발생.
20133,2,설리번,하하하! 얼마든지 해주지,,손을 들어올린다.
20134,2,리퍼,그만해줘,!move 10136,
20135,,,...,!move 10138,
20136,2,설리번,내 칭찬이 마음에 안든건가?,,1번 선택지 선택 시 발생
20137,2,설리번,그거 참 아쉽게 됐군 그래,,손을 책상 위로 올린다.
20138,2,설리번,잡담은 이제 그만하고 본론으로 돌아가지,,
20139,2,설리번,"""검은 고양이""",!size 1 8 24,
20140,2,설리번,우리 영역에 마약을 풀고,,
20141,2,설리번,이제는 내 사업을 더럽히고있어,,
20142,2,설리번,회복된지 얼마 되지 않았다는걸 알고있지만 계속 나서줘야겠어,,
20143,2,리퍼,가혹하군,!move 10140,
20144,,,...,!move 10141,
20145,2,설리번,자네를 살린게 나라는걸 잊지말게,,1번 선택지 선택 시 발생
20146,2,설리번,더 묻고 싶은건 있나?,,
20147,2,리퍼,로벨리아에 대해 알고있는게 있나?,!move 10150,
20148,,,내 집을 불태운 자식에 대해 알고있는게 있나?,!move 10154,
20149,,,없어,!move 10160,선택 시 대화 종료
20150,2,설리번,커피집을 운영하던 여자말인가?,,"1번 선택지, 10141 대화로 돌아감"
20151,2,설리번,그러고보니 한번도 본 적이 없군,,
20152,2,설리번,여자 얘기가 나와서 말인데,,
20153,2,설리번,남자에게 여자는 약점만 될 뿐이네,!move 10146,
20154,2,설리번,집을 불태웠다고?,,"2번 선택지, 10141 대화로 돌아감"
20155,2,설리번,겁대가리를 상실했군,,
20156,2,설리번,조지를 생각해보면 검은 고양이가 분명할거야,,
20157,2,설리번,오히려 잘됐군,,
20158,2,설리번,더 이상 죄책감을 가질 필요가 없네,!move 10146,
20159,2,설리번,보이는 족족 없애버리게,,
20160,2,설리번,자네도 썩 좋아보이진 않는군,,선택지를 모두 확인할 시 발생
20161,2,설리번,도움이 필요하다면 언제든지 말하게,,
20162,2,설리번,당분간은 내가 마련한 곳에 머무르는게 좋을거야,,
20163,2,설리번,또 죽을 순 없지않겠나?,,
20164,2,리퍼,알겠다,,설리번의 사무실에서 퇴장한다.
,,, ,,
20165,2,잭,여긴 어디지?,,잭은 등을 돌려 앉아있다.
20166,2,리퍼,이게 도대체...,,리퍼는 뒤를 돌아본다.
20167,2,잭,너는...!,!size 1 6 24,일어서서 리퍼를 바라본다.
20168,2,리퍼,꿈을 꾸고 있는건가?,,뒤를 돌아선 채로 말한다.
20169,2,잭,죽여버리겠어!!!,!size 1 9 24,리퍼를 향해 달려든다.
20170,2,사진기자,선생님?,,리퍼 앞에서 환각이 깨어나고 사진기자가 보인다.
20171,2,사진기자,뭘 보고 계신거지?,,수상하다는 듯이 쳐다본다.
20172,2,리퍼,허?,,
20173,2,사진기자,네?,,
20174,2,리퍼,내가... 언제부터 이러고 있었는지 말해줄 수 있나...?,!speed 1 5 0.1,뒤를 돌아선 상태 유지
20175,2,사진기자,얼빠진 얼굴로 가만히 계셨어요,,스탠딩 상태로 되돌아간다.
20176,2,사진기자,1분정도 동안요,,
20177,2,사진기자,이런 곳에서 보다니 이런 우연이 다 있네요,,
20178,2,사진기자,전해드릴 이야기가 있는데,,리퍼는 뒤를 돌아 서둘러 이동한다.
20179,2,리퍼,미안하지만 가야겠어,,
,,, ,,
20180,2,리퍼,도대체 무슨 짓을 한거야,!size 1 13 24,리퍼는 황급히 연구실로 뛰어들어온다.
20181,2,지젤,여긴 어떻게 알고 찾아온거지?,,리퍼가 주저앉고 지젤이 뒤를 돈다.
20182,2,지젤,뭐야... 나의 걸작 아닌가!,,리퍼를 환영한다.
20183,2,지젤,인간을 뛰어넘은 기분은 어떤가!!!<br>소감을 말해주게!!!,,
20184,2,리퍼,당장 아는대로 말해,,주저 앉은 채 말한다.
20185,2,지젤,평소보다 힘이 솟지 않나?! 냄새는?!,,
20186,2,지젤,자네는 뭐랄까... 초인이 된거야!,!speed 1 10 0.1,
20187,2,지젤,아니야 야수라고 하는게 더 좋은 표현인가?,,
20188,2,지젤,아무렴 어떤가!<br>자네는 인류를 뛰어남은 신인류인데!,,
20189,2,지젤,하하하!!! 8번째 실험은 다행히 성공했지 뭔가?!,,화면이 점점 붉어진다.
20190,2,지젤,참! 생명이 살고자 하는 욕망이 얼마나 강한지 알고있나?,,
20191,2,지젤,나는 바로 그걸 노린거야!,,
20192,2,지젤,과학적으로 설명...,,
20193,2,지젤,걸세...,,
20194,2,지젤,...,,
20195,2,지젤,...,,리퍼는 연구실을 뛰쳐 나간다.
,,, ,,
20196,2,발톱,...,,발톱이 농장 앞으로 걸어온다.
20197,2,발톱,멀리서 봐도 알 수 있어,,
20198,2,발톱,리퍼가 벌인 짓 이라는걸,,
20199,2,조직원1,그때 건물 전체가 폭발해서 살아남을 수 없을겁니다,,
20200,2,조직원1,아무리 리퍼라고 할지라도요,,
20201,2,발톱,아니,,
20202,2,발톱,난 리퍼라는걸 확신한다,,발톱이 뒤를 돌아 카메라 밖으로 나간다.
